label,unit,n,mean,std,p5,p25,median,p75,p95,min,max
Profit margin,percent,77337,5.03,14.99,-5.53,0.0,1.01,4.44,36.66,-23.45,88.59
Return on assets,percent,77872,6.4,16.93,-15.06,0.0,3.08,11.2,36.34,-50.42,77.68
Equity ratio,percent,90219,42.49,36.19,-6.77,13.55,43.37,72.92,96.61,-69.09,99.79
Debt ratio,percent,89426,43.14,34.02,0.49,10.62,36.96,74.96,98.65,0.0,99.99
Cash-to-assets,percent,78359,22.52,24.33,0.06,2.53,13.46,35.85,74.31,0.0,97.29
Receivables-to-assets,percent,78529,27.07,25.02,0.28,7.82,19.61,39.34,82.79,0.0,99.26
Asset turnover,times,91153,3.45,3.74,0.27,1.36,2.24,4.23,10.34,0.09,23.19
