variable,label,n,mean,std,min,p5,p25,median,p75,p95,max
profit_margin_win,Profit margin,77337,0.05031615887713498,0.1499317788907363,-0.234495013472704,-0.055260769629629586,0.0,0.0100657176326352,0.0444341791044776,0.36664951436493015,0.8859138047999998
roa_win,Return on assets,77872,0.0639629896451611,0.16934693982028165,-0.5041836486697281,-0.15058672643038526,0.0,0.030766591143434198,0.1120035265249654,0.36337703358177337,0.7767903972250241
equity_ratio_calc_win,Equity ratio,90219,0.42487493328058534,0.36192777252550745,-0.6909127083663493,-0.06766645615338093,0.13547829472698641,0.4337349397590361,0.729230748235743,0.9660926285540529,0.9979287305795884
debt_ratio_win,Debt ratio,89426,0.43141392249933397,0.34015424263594907,3.3438351745702564e-06,0.0048687377155960995,0.10617317535335002,0.36956520597883336,0.7495578774433989,0.9864574731710203,0.9998652175435164
cash_to_assets_win,Cash-to-assets,78359,0.22519068414574678,0.2433179497013046,8.646558964767094e-06,0.00056878666258515,0.0252543959945453,0.1346017311300899,0.3584731579600935,0.7430545099052459,0.972942326876332
receivables_to_assets_win,Receivables-to-assets,78529,0.27074296555637145,0.2501656102159269,0.0,0.0028410950728659998,0.078238305650795,0.1960855418274882,0.3934368334118143,0.8279465811661008,0.992643839401489
asset_turnover_win,Asset turnover,91153,3.445403739319034,3.737976019861936,0.0860123213711292,0.2672017224743709,1.3621175229939546,2.2413969235972258,4.226230862570096,10.344452154354371,23.189397957850577
